18,870	28,450	45,250	34,450	17,670	27,620	48,670	39,680
21,460	31,440	50,580	38,960	19,490	29,920	51,190	42,620
22,960	33,040	54,000	42,100	21,540	31,910	55,780	47,240
25,580	35,160	58,010	46,240	23,910	33,930	60,770	52,580
28,800	37,640	63,640	52,670	26,580	34,540	65,030	58,700
31,530	39,400	68,240	58,060	29,300	37,530	69,940	64,420
34,980	41,100	73,130	64,460	32,630	39,440	75,370	72,310
39,540	43,190	78,680	72,490	36,990	40,790	80,180	80,270
44,980	44,240	81,300	80,280	41,740	42,110	84,500	86,920
49,220	45,200	88,660	89,450	46,950	42,000	88,990	98,520
56,550	46,640	88,950	97,350	51,600	43,630	91,970	107,910
65,620	46,270	94,430	109,230	62,860	45,000	93,490	113,630
74,260	48,000	98,030	154,730	91,520	58,440	128,920	163,480
110,670	66,660	133,340	167,050	101,520	64,700	134,670	175,350
116,440	71,800	137,280	178,020	103,450	64,730	137,330	190,300
128,420	73,680	143,640	186,710	116,780	69,870	143,310	198,680
138,210	74,960	150,700	201,230	125,020	74,440	151,360	217,260
148,360	82,750	158,490	212,470	137,440	77,400	157,600	226,950
157,620	84,700	160,660	221,320	145,110	79,860	155,990	236,800
165,450	87,800	162,060	229,300	149,470	79,300	158,600	248,180
177,350	89,530	168,900	239,120	160,090	83,920	166,950	254,120
188,520	94,140	171,640	236,180	169,630	85,220	169,550	268,080
203,960	94,940	176,970	265,240	175,630	90,120	168,710	271,910
212,700	99,480	178,680	278,940	207,480	97,180	182,740	294,730
225,870	110,170	178,000	293,730	216,230	105,220	182,300	307,400
254,140	116,390	190,000	313,190	235,860	110,880	187,460	332,010
285,820	129,560	199,840	337,040	261,210	123,440	193,080	350,770
309,380	141,990	207,430	363,000	290,650	133,180	198,450	381,230
311,930	136,570	186,440	346,520	283,730	145,960	205,710	372,740
351,930	155,840	196,830	369,210	309,620	146,050	185,120	372,990
386,730	172,280	202,260	394,410	355,130	163,070	191,670	408,490
434,000	188,480	207,170	421,870	391,160	180,480	197,570	419,460
467,970	214,890	209,120	436,970	427,930	204,390	203,280	462,820
500,000	229,970	208,200	452,050	424,670	219,560	201,640	437,580
500,000	244,030	206,160	423,730	447,310	215,690	187,890	434,150
499,320	239,880	189,860	419,850	455,760	227,200	180,100	423,030
500,000	263,580	183,080	422,700	483,730	244,510	179,410	426,000
500,000	278,100	180,340	425,850	481,580	251,700	173,650	433,770
500,000	289,850	178,100	408,000	500,000	265,580	167,530	426,810
500,000	288,780	168,880	402,050	500,000	267,910	159,030	401,160
500,000	297,240	157,130	378,250	480,850	278,900	152,640	376,630
500,000	500,000	500,000	500,000	500,000	500,000	500,000	500,000
500,000	500,000	500,000	500,000	500,000	500,000	500,000	500,000
500,000	500,000	500,000	500,000	500,000	500,000	500,000	500,000
500,000	500,000	500,000	500,000	500,000	500,000	500,000	500,000
500,000	500,000	500,000	500,000	500,000	500,000	500,000	500,000
500,000	500,000	500,000	500,000	500,000	500,000	500,000	500,000
500,000	500,000	500,000	500,000	500,000	500,000	500,000	500,000
500,000	500,000	500,000	500,000	500,000	500,000	500,000	500,000
495,820	500,000	500,000	500,000	500,000	500,000	500,000	500,000
500,000	500,000	499,160	500,000	500,000	500,000	500,000	500,000
500,000	500,000	500,000	500,000	500,000	500,000	500,000	500,000
491,130	489,650	500,000	491,190	500,000	500,000	500,000	500,000
500,000	499,540	498,120	493,120	498,660	497,340	497,220	500,000
493,400	500,000	490,940	490,980	500,000	500,000	494,190	498,830
500,000	489,480	500,000	499,420	494,130	492,800	500,000	500,000
500,000	493,920	498,850	500,000	494,420	500,000	499,530	499,570
499,860	487,750	499,320	494,240	492,050	491,020	495,540	480,130
499,270	498,970	492,520	483,510	485,130	498,790	500,000	491,310
494,790	496,730	499,550	498,210	499,820	497,200	498,010	499,570
